Subject_Code	Activity_Code	tBodyAcc-mean()-X	tBodyAcc-means()-Y	tBodyAcc-std()-X	tBodyAcc-std()-Y	tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-std()-X	tGravityAcc-std()-Y
1	1	0.277330759	-0.017383819	-0.283740259	0.114461337	0.935223201	-0.282165021	-0.976609643	-0.971305961
1	2	0.25546169	-0.023953149	-0.354708025	-0.002320265	0.893351098	-0.362153364	-0.956367028	-0.952849233
1	3	0.28918832	-0.009918505	0.030035338	-0.031935943	0.931874419	-0.266610339	-0.950559812	-0.937018659
1	4	0.261237565	-0.001308288	-0.977229008	-0.922618642	0.831509933	0.204411593	-0.968457146	-0.935517056
1	5	0.278917629	-0.01613759	-0.995759902	-0.973190056	0.942952	-0.272983832	-0.993762985	-0.981225958
1	6	0.221598244	-0.040513953	-0.928056469	-0.836827406	-0.248881798	0.705549773	-0.896830018	-0.907720007
2	1	0.276426586	-0.01859492	-0.423642838	-0.078091253	0.913017333	-0.34660709	-0.972693201	-0.97211688
2	2	0.24716479	-0.021412113	-0.304376406	0.10802728	0.790717419	-0.41621489	-0.93440774	-0.923767454
2	3	0.277615348	-0.022661416	0.046366681	0.262881789	0.861831346	-0.325780101	-0.94036176	-0.940068526
2	4	0.277087352	-0.015687994	-0.98682228	-0.950704499	0.940477273	-0.105630024	-0.979988761	-0.956750273
2	5	0.277911472	-0.018420827	-0.987271889	-0.957304989	0.896928567	-0.370062697	-0.986685819	-0.97419442
2	6	0.281373404	-0.01815874	-0.974059465	-0.980277399	-0.509754238	0.752536639	-0.959014441	-0.988211865
3	1	0.275567462	-0.017176784	-0.360356726	-0.069914065	0.936506743	-0.261986358	-0.977771591	-0.962355639
3	2	0.260819873	-0.032410941	-0.313123438	0.011628081	0.883533436	-0.382851154	-0.944040819	-0.909825954
3	3	0.292423485	-0.019355408	-0.057410048	-0.033150372	0.939057788	-0.228829214	-0.95006113	-0.946094638
